MovieID,IMDB Rating,Rating,Duration,Movie Description,Movie Name,Popularity,Release Date,MetaScore,FilmingLocation,CertificateID,TechnicalSpecsID,ParentGuideID,StoryLine,LanguageID,TagLine,CountryID
1,6.6,10,1:54,,Life as We Know It,2564,10/8/2010,39,4,2,4,5,"Holly and Eric were set up on a blind date by their friends, Peter and Allison who are married. ",1,Life as We Know It,1
2,6.9,2,1:59,,Pretty Woman,218733,6/1/1990,51,5,4,5,4,"Because of his extreme wealth and suave good looks, Edward Lewis could seemingly have any woman he wants.",5,Pretty Woman,1
3,6.5,5,1:41,,The Lucky One,79438,5/2/2012,39,5,2,5,2,"Logan is a marine serving in Iraq. While there, he finds a photo of a girl with ""keep safe"" written on the back. He is admiring it when his unit is attacked.",4,The Lucky One,1
4,6.7,4,1:55,,Safe Haven,80834,3/1/2013,34,2,1,2,1,"When a mysterious young woman named Katie appears in the small North Carolina town of Southport, her sudden arrival raises questions about her past.",2,Safe Haven,1
5,7.4,6,1:41,,A Walk to Remember,165769,9/1/2002,35,1,3,1,3,"In Beaufort, North Carolina, a prank on a student goes terribly wrong and puts the student in the hospital. ",5,A Walk to Remember,1
6,6.7,7,1:58,,The Best of Me,45682,10/5/2014,29,2,2,2,4,Amanda and Dawson are soul mates who met as teens and were from different backgrounds. But circumstances would force them to part ways. ,5,The Best of Me,1
7,6.5,1,1:36,,Music & Lyrics,82801,2/9/2007,59,1,1,1,5,"Cheery Alex Fletcher lives comfortably in Manhattan off the residuals from his 80's pop success and reprising his hits at school reunions, and state fairs.",3,Music & Lyrics,1
8,6.5,5,1:36,,The Ugly Truth,167387,8/5/2009,28,3,4,3,2,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic  to prove his theories. ,2,The Ugly Truth,1
9,7,2,2:09,,Knocked Up,302897,8/4/2007,85,5,2,5,3,"When Alison Scott is promoted in E! Television, she goes to a night-club to celebrate with her older married sister Debbie.",4,Knocked Up,1
10,6.8,4,1:39,,50 First Dates,271069,4/9/2004,48,4,1,4,1,Henry Roth lives in a Hawaiian paradise with the company of endless women with no strings attached. ,4,50 First Dates,1
11,6.3,3,1:42,,Going the Distance,51088,8/7/2010,51,1,3,1,4,Erin has just six more weeks as an intern at the New York Sentinel before she returns to San Francisco. That's fine with Garrett since he just got out of a relationship.,2,Going the Distance,1
12,7,6,2:04,,Notting Hill,208309,5/1/1991,66,2,1,2,5,"Every man's dream comes true for William Thacker, an unsuccessful Notting Hill, when Anna Scott, the world's most beautiful woman and best-liked actress, enters his shop.",3,Notting Hill,1
13,6.4,5,1:56,,How to lose a guy in 10 days,161102,2/8/2003,45,4,2,4,5,Benjamin Barry is an advertising executive competing with two female co-workers for a major campaign for a diamond merchant. ,5,How to lose a guy in 10 days,1
14,6.7,7,1:37,,Bridget Jones Diary,178103,4/3/2001,66,2,1,2,2,"Bridget Jones is an average woman struggling against her age, her weight, her job, her lack of a man, and her many imperfections. ",2,Bridget Jones Diary,1
15,7.8,8,2:02,,Silver Linings Playbook,545584,11/1/2012,81,1,2,3,5,"Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son",1,Silver Linings Playbook,1
16,6.4,9,1:57,,Just go with it,176414,2/1/2011,33,4,4,2,2,"Danny (Adam Sandler) must engage Katherine (Jennifer Aniston),",1,Just go with it,1
17,7.8,10,2:06,,Fault in our Stars,258916,6/9/2014,69,2,3,5,4,"Hazel and Augustus are two teenagers who share an acerbic wit, a disdain for the conventional, and a love that sweeps them on a journey.",2,Fault in our Stars,1
18,6.4,2,1:26,,Two Night Stand,47769,2/3/2015,45,5,3,5,1,"After an extremely regrettable one night stand, two strangers wake up to find themselves snowed in after sleeping through a blizzard that put all of Manhattan on ice. ",3,Two Night Stand,1
19,6.4,4,1:40,,Leap Year,73021,2/6/2010,33,3,2,5,3,"A woman who has an elaborate scheme to propose to her boyfriend on Leap Day, an Irish tradition which occurs every time the date rolls around, faces a major setback .",4,Leap Year,1
20,6.1,5,1:39,,What Happens in Vegas,142947,5/9/2008,36,1,1,5,1,"Set in Sin City, story revolves around two people  with one of them winning a huge jackpot after playing the other's quarter. ",5,What Happens in Vegas,1
