OrganizationID,Organization Description,Organization Name
1,News Paper company in New York,NewYork Times
2,News Paper company all over United States ,The Guardian
3,News agency in Chicago,Chicago Tribune
4,News agency in Seattle,The Seattle Times
5,News agency in United States,The Telegraph
6,News agency in United States,Daily News
7,News agency in MA,The Boston Globe
8,News agency in Washington,The Washington Times
9,News agency in United States,USA Today
10,News agency in Boston,Boston Herald
