ReviewID,Review,TVShowID,SeasonID,EpisodeID,CriticID,OrganizationID,UserID,TrailerID,MovieID,UserRating
1,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,,,,,1,,7.8,1
2,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,,,,,2,,7.8,2
3,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,,,,3,,8.4,3
4,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,,,,4,,9,5
5,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,,,,11,,8.3,4
6,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,,,,12,,9.5,1
7,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,,,,13,,7.5,2
8,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,,,,14,,7.6,3
9,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,,,,15,,7.1,5
10,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,,,,2,,6.1,4
11,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,,,,3,,8.9,5
12,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,,,,4,,6.8,4
13,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",,,,,,11,,8.7,1
14,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",,,,,,12,,5.1,2
15,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",,,,,,13,,8.5,2
16,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",,,,,,15,,7,1
17,"Father Ted Lawson creates a robot, VICI (played by Tiffany Brissette). The family--Ted, Joan and Jamie--keep VICI's identity secret, and pretend that she is their daughter. s.",,,,2,1,1,,9.5,1
18,"Father Ted Lawson creates a robot, VICI (played by Tiffany Brissette). The family--Ted, Joan and Jamie--keep VICI's identity secret, and pretend that she is their daughter. s.",,,,3,2,2,,7.3,2
19,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,,,10,3,3,,6.7,3
20,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,,11,5,4,,6.5,5
21,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,,1,4,11,,9.5,4
22,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,,2,1,12,,7.3,5
23,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,,3,2,13,,6.7,4
24,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,,4,3,14,,6.5,10
25,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,,11,5,15,,7.1,4
26,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,,12,4,2,,6.1,1
27,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,,13,5,3,,8.9,2
28,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,,14,4,4,,6.8,2
29,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,,15,1,11,,8.7,1
