SeasonID,SeasonNumber,TVShowID,StoryLine,Rating ,Release Date
1,5,1,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",1,06/10/10
2,7,2,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",2,06/09/10
3,2,3,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",3,03/01/01
4,4,4,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",4,02/03/90
5,2,5,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",5,02/03/12
6,4,6,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",6,12/04/12
7,6,7,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",7,04/01/13
8,4,8,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",8,01/02/13
9,8,9,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",9,02/01/02
10,5,10,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",10,02/01/02
11,2,11,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",5,10/10/14
12,1,12,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",6,10/08/14
13,2,13,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",7,10/02/07
14,3,14,"Phillip Drummond, a widowed Manhattan millionaire and president of the mega-firm Trans Allied Inc., adopts two African American orphans from Harlem, 8-year-old Arnold and 12-year-old Willis.",8,01/02/07
15,5,15,"Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower, where Tony has taken a job as live-in housekeeper. ",9,12/07/09
16,4,16,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents, hosted by comedienne Ellen DeGeneres.",10,12/05/09
